,Value,Txn Fee
882,0.017,0.0080926
883,0.0,0.00838798
884,0.0,0.02258187
885,0.0,0.00245271
886,0.0,0.00920306
887,0.18,0.00947671
888,0.1,0.01127386
889,0.021,0.01033165
890,0.39675,0.01124563
891,0.1,0.01134709
892,0.0,0.01107412
893,0.0,0.01165221
894,0.304176,0.01160624
895,0.0,0.0028971
896,0.4,0.01283523
897,0.1256375,0.01361997
898,0.1256375,0.01362341
899,0.2,0.0135533
900,0.251275,0.01379001
901,0.1256375,0.0136201
902,0.0,0.01432055
903,0.0,0.01740876
904,0.09,0.01338696
905,0.0586,0.00151372
906,0.289929633,0.00151372
907,0.026594503,0.00151372
908,0.0,0.00248335
909,0.0,0.04214141
910,0.0,0.00297677
911,0.1256375,0.01363459
912,0.0,0.0060593
913,0.027383873,0.0015253
914,0.027385989,0.0015253
915,0.18606635,0.0015253
917,0.092909077,0.0015253
921,0.977,0.0015253
922,0.296808,0.0015253
923,0.027384931,0.0015253
927,1.1503462,0.0015253
931,0.027036389,0.00152929
932,0.080539322,0.00152929
933,0.027035331,0.00152929
934,0.027034273,0.00152929
936,0.482134096,0.00152929
939,0.57750315,0.0015358
940,0.0,0.00572404
941,0.000293366,0.0015463
942,0.009021013,0.0015463
943,0.040173131,0.0015463
944,0.0,0.00251767
945,0.164379,0.0015463
946,0.070411787,0.0015463
947,0.014852568,0.0015463
948,0.0880838,0.00154632
949,0.0,0.00338177
950,0.019,0.0015497
951,0.0,0.00334905
952,0.01733395,0.00155065
953,0.120057,0.00801987
954,0.294320399,0.0015673
955,0.435575033,0.0015673
956,0.997375,0.0015673
957,0.014985,0.0015673
958,0.0,0.00465157
959,0.0,0.00256089
960,0.0,0.00383549
961,0.0,0.00257724
962,7.980960165,0.001575
963,0.0,0.00378745
964,0.036521522,0.00158147
965,0.0,0.00332617
966,0.0,0.00339244
967,0.0,0.00339516
968,0.0,0.00339604
969,0.0,0.00465429
973,0.012818861,0.0015977
974,0.057904791,0.0015977
975,0.0,0.00346967
976,0.0,0.00381657
977,0.0,0.0038212
978,0.0,0.00381194
979,0.0,0.00624712
980,0.0,0.00422912
981,0.0,0.0045853
982,0.0,0.00357924
983,0.0,0.01030287
984,0.39,0.01019647
985,0.415,0.0102268
986,0.645625155,0.001785
987,0.054784201,0.01100371
988,0.0,0.0027125
989,0.242181061,0.0018907
990,0.312636113,0.0018907
991,0.0,0.00369002
992,0.18881225,0.00189215
993,0.0,0.01180731
994,0.05,0.01253857
995,0.0,0.00327897
996,0.0,0.00920935
998,0.0,0.00557286
999,0.0,0.00449409
1000,0.0,0.0048445
1001,0.0,0.14035955
1002,0.0,0.01196751
1003,0.0,0.02609079
1004,0.0,0.00785138
1005,0.067769045,0.0015216
1006,0.154826707,0.00831946
1007,0.13484545,0.00152209
1008,0.115,0.0061098
1009,0.54625,0.00939274
1010,0.0,0.01158597
1011,0.0,0.00475508
1012,0.18,0.00152209
1013,0.0,0.00334113
1014,0.33,0.0015426
1015,1.53199419,0.0015531
1016,0.005865805,0.0015636
1017,0.020420821,0.00933474
1018,0.184334876,0.0015221
1019,0.08,0.0015221
1020,0.00936053,0.0015636
1021,0.11585774,0.0015636
1022,0.0,0.00442158
1023,0.175974157,0.0015636
1024,0.0,0.00384416
1025,0.251275,0.01395031
1026,0.027637989,0.0015426
1027,0.027870833,0.0015426
1028,0.027898294,0.0015426
1030,0.027869827,0.0015426
1034,0.027576294,0.00154664
1035,0.027315989,0.00154664
1036,0.027547827,0.00154664
1039,0.027317047,0.00154664
1042,0.027548833,0.00154664
1048,0.0,0.00335746
1049,0.071156561,0.0015321
1051,0.0,0.00444489
1052,0.0,0.00470604
1053,0.575,0.0015221
1054,0.251275,0.01394422
1055,0.0,0.00458501
1056,0.0,0.00645649
1057,0.0,0.00309534
1058,0.0,0.0483
1059,0.0,0.0323353
1060,0.0,0.00824555
1061,0.04365727,0.0015426
1062,0.01452051,0.0015426
1063,0.003820617,0.0015426
1064,0.27850126,0.0015426
1065,1.6360804,0.0015426
1067,0.01441657,0.0015426
1068,0.11649838,0.0015426
1069,0.0595025,0.0015426
1070,0.0,0.00401638
1071,0.024014238,0.00160417
1072,0.031,0.00160417
1073,0.0,0.00433295
1074,0.0,0.00482849
1075,0.015,0.00160417
1076,0.0,0.00265796
1077,0.0,0.00394191
1079,0.985935119,0.00160417
1080,0.0,0.00352131
1081,0.85791,0.00160417
1082,0.000859966,0.00176363
1083,0.003809847,0.00152162
1084,0.001172753,0.00152162
1085,0.0,0.00335511
1086,0.0,0.00220389
1087,0.0,0.00458089
1088,0.051286409,0.00152162
1089,0.0,0.0078071
1090,0.0,0.00382805
1091,0.07,0.0066724
1092,0.02,0.00979196
1093,0.0,0.00825004
1094,0.0,0.00829004
1095,0.0,0.00337453
1096,0.0,0.01166196
1097,0.0,0.01570754
1098,0.0,0.01569304
1099,0.0,0.03035131
1100,0.0,0.00629301
1101,0.0,0.00334011
1102,0.00495102,0.00152162
1103,0.1,0.01182442
1104,0.005,0.00330582
1105,0.0,0.00386962
1106,0.02275724,0.00152209
1107,0.13225,0.01106479
1108,0.0,0.00339824
1109,1.503244243,0.00152209
1110,0.02719577,0.00152209
1111,0.001099738,0.00152556
1112,0.1,0.0015221
1113,0.2,0.0015221
1115,0.0,0.00190284
1116,0.0,0.00212884
1117,0.0,0.00361673
1118,0.0,0.00461618
1119,0.2645,0.01123429
1120,0.2645,0.01123516
1121,0.10925,0.00936507
1122,0.0,0.00893888
1123,0.0,0.00951924
1124,0.0,0.00992803
1125,0.0,0.01890969
1126,0.0,0.01635313
1127,0.003985468,0.0015221
1128,0.0,0.00916024
1129,0.10925,0.00937029
1130,0.0,0.00335457
1131,0.0,0.00220371
1132,0.39,0.01483936
1133,0.0,0.01348302
1134,0.0,0.00354411
1135,0.437,0.0093946
1136,0.03,0.01334194
1137,0.437818645,0.02987634
1138,0.0,0.00334862
1139,0.15,0.00963323
1140,0.062085738,0.00153125
1141,0.01260412,0.00153125
1142,0.025701271,0.00153125
1143,0.00667681,0.001533
1144,0.0,0.001533
1145,2.934181083,0.00154203
1146,0.027772294,0.0015426
1148,0.027773352,0.0015426
1152,0.00289637,0.0015426
1153,0.02765742,0.00154664
1155,0.106142633,0.0015426
1156,0.027774411,0.0015426
1157,0.00403941,0.0015426
1158,0.00636315,0.0015426
